,USGS-01509000,USGS-01531000,USGS-04234000
1950-01-01,14.838027614208002,35.96239517184001,3.9360416762880006
1950-01-02,15.404364546048003,38.2277428992,5.804953551360001
1950-01-03,18.519217671168004,39.07724829696001,7.305746420736001
1950-01-04,22.257041421312003,45.873291479040006,6.9376274150400015
1950-01-05,20.699614858752003,57.20003011584001,7.135845341184001
1950-01-06,27.835460199936005,123.17828267520002,14.413274915328001
1950-01-07,43.324775285760005,407.76259092480007,19.821792614400003
1950-01-08,28.316846592000005,216.05753949696003,7.8154496593920015
1950-01-09,26.051498864640003,116.09907102720001,6.682775795712001
1950-01-10,37.095069035520005,121.19610341376001,15.007928693760002
1950-01-11,60.31488324096001,238.42784830464004,21.350902330368005
1950-01-12,37.94457443328,134.50502131200003,7.787132812800001
1950-01-13,32.28120511488,93.44559375360001,7.928717045760001
1950-01-14,39.36041676288001,103.35649006080001,12.685947273216001
1950-01-15,29.449520455680005,103.92282699264001,7.9853507389440015
1950-01-16,31.431699717120004,81.83568665088,8.041984432128002
1950-01-17,23.701200597504002,77.87132812800002,5.210299772928001
1950-01-18,21.888922415616005,58.33270397952001,5.578418778624001
1950-01-19,18.236049205248,52.386166195200005,3.6811900569600007
1950-01-20,15.291097159680003,38.2277428992,3.4546552842240006
1950-01-21,14.158423296000002,32.28120511488,3.4829721308160004
1950-01-22,14.158423296000002,35.39605824,4.162576449024001
1950-01-23,14.809710767616002,33.697047444480006,4.983765000192001
1950-01-24,22.143774034944002,36.811900569600006,7.872083352576001
1950-01-25,38.51091136512001,96.56044687872001,15.744166705152002
1950-01-26,31.998036648960007,127.70897812992001,11.666540795904002
1950-01-27,27.835460199936005,102.79015312896001,9.401193068544002
1950-01-28,20.388129546240002,77.30499119616002,5.521785085440001
1950-01-29,20.388129546240002,59.18220937728001,5.918220937728001
1950-01-30,20.444763239424002,62.01389403648001,6.569508409344001
1950-01-31,15.404364546048003,61.16438863872001,4.38911122176
1950-02-01,15.291097159680003,45.873291479040006,4.672279687680001
1950-02-02,15.347730852864002,46.439628410880005,4.700596534272001
1950-02-03,14.328324375552002,49.83765000192001,4.38911122176
1950-02-04,12.742580966400002,43.041606819840005,3.5396058240000006
1950-02-05,11.723174489088002,35.11288977408,3.4263384376320003
1950-02-06,11.921392415232003,37.095069035520005,3.6811900569600007
1950-02-07,11.270104943616001,34.546552842240004,3.3697047444480006
1950-02-08,8.77822244352,26.617835796480005,1.8689118750720002
1950-02-09,9.967530000384002,22.653477273600004,3.5396058240000006
1950-02-10,12.827531506176001,34.546552842240004,4.38911122176
1950-02-11,13.393868438016002,41.90893295616001,5.0970323865600005
1950-02-12,13.280601051648002,50.12081846784001,5.380200852480001
1950-02-13,11.355055483392002,48.988144604160006,4.530695454720001
1950-02-14,10.024163693568001,39.07724829696001,3.1148531251200007
1950-02-15,10.930302784512001,37.378237501440005,4.247526988800001
1950-02-16,12.855848352768001,75.32281193472001,5.181982926336
1950-02-17,11.949709261824001,81.26934971904001,4.898814460416001
1950-02-18,11.128520710656002,70.22577954816,4.247526988800001
1950-02-19,10.675451165184002,64.56241022976,4.105942755840001
1950-02-20,7.928717045760001,52.386166195200005,2.0388129546240004
1950-02-21,9.061390909440002,29.449520455680005,3.3980215910400005
1950-02-22,9.344559375360001,42.19210142208001,3.5396058240000006
1950-02-23,9.344559375360001,47.85547074048001,3.6811900569600007
1950-02-24,9.202975142400001,55.217850854400005,3.3980215910400005
1950-02-25,7.645548579840002,48.13863920640001,3.1148531251200007
1950-02-26,7.079211648000001,38.2277428992,3.0015857387520004
1950-02-27,6.9376274150400015,31.148531251200005,2.8883183523840006
1950-02-28,6.796043182080001,29.449520455680005,2.8316846592000005
1950-03-01,6.9376274150400015,29.449520455680005,2.6051498864640004
1950-03-02,6.796043182080001,27.184172728320004,2.2653477273600005
1950-03-03,6.654458949120001,25.485161932800004,2.152080340992
1950-03-04,6.512874716160001,25.485161932800004,2.0954466478080005
1950-03-05,6.796043182080001,26.617835796480005,2.0388129546240004
1950-03-06,7.220795880960001,27.184172728320004,2.2653477273600005
1950-03-07,7.305746420736001,28.883183523840003,2.152080340992
1950-03-08,8.07030127872,61.44755710464001,4.955448153600001
1950-03-09,22.653477273600004,348.29721308160003,16.650305796096003
1950-03-10,24.097636449792002,221.43774034944002,13.592086364160002
1950-03-11,23.049913125888004,142.15056989184004,10.477233239040002
1950-03-12,21.690704489472004,108.73669091328001,9.627727841280002
1950-03-13,20.5297137792,94.01193068544002,8.495053977600001
1950-03-14,18.236049205248,77.30499119616002,6.654458949120001
1950-03-15,16.423771023360004,68.52676875264001,5.946537784320001
1950-03-16,15.291097159680003,65.1287471616,5.380200852480001
1950-03-17,14.158423296000002,63.99607329792001,5.0970323865600005
1950-03-18,13.025749432320001,67.39409488896001,4.38911122176
1950-03-19,11.609907102720001,54.36834545664001,3.822774289920001
1950-03-20,11.326738636800002,51.53666079744001,3.9643585228800005
1950-03-21,12.572679886848002,106.75451165184002,5.521785085440001
1950-03-22,14.300007528960002,256.83379858944005,13.931888523264002
1950-03-23,18.066148125696003,271.84172728320004,18.547534517760003
1950-03-24,17.103375341568004,196.23574688256002,13.790304290304002
1950-03-25,16.14060255744,163.10503636992001,12.289511420928001
1950-03-26,15.602582472192003,140.1683906304,10.137431079936002
1950-03-27,22.002189801984002,190.57237756416004,24.210903836160004
1950-03-28,82.1188551168,1073.2084858368003,94.29509915136002
1950-03-29,160.83968864256002,2010.4961080320004,77.87132812800002
1950-03-30,113.55055483392002,945.7826761728002,35.11288977408
